34,1392,0,6.791107145
33,2288,0,10.99410248
25,1667,24.59607843,0.0736828985
22,1517,4.517647059,7.08890886
28,1923,12.54901961,6.754265696
37,1487,0,6.895491252
38,1571,16.56470588,0.1166645893
51,2066,0,10.63796847
40,1650,9.537254902,4.746406712
34,2335,0,8.028365816
54,2206,0,11.34716637
33,1376,0,6.29374758
32,1304,0,5.897702001
40,2104,10.54117647,10.04236504
31,2069,12.54901961,10.84059644
36,1487,0,6.502515793
21,1438,14.55686275,0.0644725362
0,889,0,3.874492413
0,888,0,3.856071688
0,891,0,3.923614345
0,890,0,3.9021235
0,888,0,3.9021235
0,877,0,0
17,1227,0,5.065699272
36,1504,27.60784314,0.107454227
26,1155,24.59607843,4.22141606
42,1778,24.09411765,6.01436659
29,1206,18.57254902,4.930613958
27,1823,27.60784314,0.07982314
25,1698,27.60784314,9.035365429
35,2402,22.58823529,0.107454227
29,2026,16.56470588,8.114329198
18,1237,36.64313725,0.0552621739
38,1577,0,0.1135944685
32,2187,17.56862745,0.0951737439
37,1516,0,8.114329198
41,1712,16.56470588,8.421341275
39,1596,13.55294118,8.366079101
55,2274,18.57254902,0.1688566424
51,1484,0,6.993735116
46,1942,26.60392157,0.1412255555
63,1828,0,10.31253567
62,1807,25.6,0.1903474878
67,1970,25.6,10.4936728
51,2128,23.59215686,0.1565761593
65,1893,28.61176471,10.73314222
42,1718,35.63921569,0.1258749516
54,1562,0,7.540216613
49,1454,27.60784314,0.1504359178
87,1694,27.60784314,7.712143377
95,1848,33.63137255,13.17081811
101,1973,32.62745098,11.27041335
92,1796,26.60392157,0.2824511109
84,1657,26.60392157,0.2578901448
98,1892,0,5.77489717
96,1872,31.62352941,0.2916614732
102,1984,36.64313725,15.47340869
104,2031,29.61568627,8.940191685
100,1940,27.60784314,0.3039419563
99,1923,25.6,7.626179995
64,1251,0,7.098119222
93,1836,23.59215686,6.628390744
89,1740,31.62352941,0.2701706278
86,1672,34.63529412,13.70808924
85,1650,0,9.526584752
82,1623,23.59215686,5.756476446
69,1320,0,7.500305043
83,1630,24.59607843,5.467885093
20,1377,13.55294118,5.034998064
12,802,0,0.0368414493
33,1400,21.58431373,7.982314004
50,1481,16.56470588,0.1535060385
0,799,0,2.704776399
0,795,0,0
9,1102,10.54117647,3.806949756
0,792,0,0
